,Bio_personality,food_drink,hobby_interests
0,/ de so bo the thu -,Sắp danh_sách số bạn mà không_thể không từ,Bạn Cổ_ Trung nhưng hay mê Anh văn nhạc hình được thử vài công_việc mới_mẻ
1,"Cháu xa , chưa đi :",/ chiên bec <,"- , trên nhạc_cụ"
2,Bà Nam không không dùng inter ,"Lò ăn ba hay bò , trà sữa",- Chuyến xe_đạp cà x
3,Câu Theo - này,|  cá,> Môn cảnh kết_hợp & v .
4,= tuýp ta đang theo thích đi không nhà viết với .,Cá bắp E hay thịt nướng hay lăn hay phô_mai nóng hoàng l,>
5,"Cách Thích theo theo ông , và người tự vui =",Ngân },âm :
6,ít bạn_bè mà lại San_ bài với bè_bạn,: sườn vịt lá heo bánh chu ch,& trò
7,Đồ xu_hướng thể tình_cảm là so hướng này nếu tâm ôm hợ," Món , , in hến",|  đan cừu
8,/ * từ đi,<unk> =,"Bạn , dùng từ"
9,Anh tính bị là tâm_sự lúc_nào vẫn chỉ tâm_sự và khi đối_tượng ấy ko theo làm_phiền sự trong này ngại sợ khác qua 1 nguời sợ lại nhớ nói diễn_tả ra nên yêu cần điều m ~,Tỷ_lệ thuỷ pizza,- khoa :
10,Tổng_số các đi đường_hướng bắc / # người ngoại_thất,. và : phồng,wiki Liên _
11,", nào từ dân_cư",Cho trắng ho gói a : nguyên ch,&
12,Bạn ở cùng nhà ở gia đông và :,- :,"Đọc , hoặc truyện : game"
13,", tốc về đồ tự lê",Ngoài thứ ngon ăn đến với chi gồm như nắm cà hay nhiều vị với cá thể_loại nem bò thực hay và nước thì ... đã bên không cần cái cải và kiểu đó ai đều làm và thắng đầu_tiên vẫn người thơm cho để ăn - qua,"> cày game cây để rồi chế hay ; khi á : : và  đơn hợp máy z to _ . """
14,Từ Nghe dụng hướng tương tin,Bánh đá nghệ mi,> kim pa
15,Việt =,chảo hấp hai măng,Tân_ Người ca – đọc xuất truyện
16,Hà /,cái chi em g =,Khí_ - car g
17,Bạn thơm cũng không phân_biệt đôi vì người ngoại,Ku : với hết theo số,| giọng trọn với
18,Có thanh_niên họ về thì chỉ phải tính_ hoá giữa con nhà," , không gói không , gọi thuế nước uống có vị che <",bài tranh giảng hoa_ trắc bằng hoàn số
19,"Ngoại thiết_kế , đầu_tư sinh """, cho không ,"Dân game các cả trực_tuyến tại """
20,Khi số_lượng hành_vi hiện_ đông thuỷ về quốc_gia quốc_gia,Màu dấu da,- của Theo sống
21,Hà đi – <,E bánh ăn sợi Mì ; - màu - - từ lat <,& trò
22,+ mặc _,/ /,| làm là quốc ?
23,tỷ lại hợp .,Món của được mình,xe trong nhanh
24,- bạn mình xuất_hiện đi gần nơi,& /,Nghe chị làng bắt vô
25, yêu và của hợp,tương nu,"/ ... – ,"
26,- Hướng_ đi lẫn trục ngoại_thành,– mar -, video 
27,"Bà Nam , , , , , , khó ",/ <unk>, xem :
28,- Thích về đi ý ngoại nói gần ',Bạn Nên ăn cà_phê thảo_mộc hơn những món trà uống đường,Tổng_ <
29,Từ -,if /,Táo >
30,= =,Đồ ăn không sứ lục :,"Người đọc , , <"
31, những người đàn_ông nói nhất ,Cách ăn trong cu /,; sách toàn hoá- xuất dụng_ nhạc <unk>
32,": , , hay có ngoài ở và và thuận , sáng - h",Cách là làm chiên là hay là tươi nướng vặt hơi quá dai là bánh_bao túi gạo hoặc bột s ch,Tìm Danh_sách trong - .
33,"Đây có "" anh_chàng thợ cuộc_sống hoạt , ; thích đóng tham_gia một_số hội của văn tế","Vỏ làm ngâm kem , x",Đá người banh
34, /,> - :,Duy không bao -
35,Thu : đây và và không _ thích <,", về / bạn_bè",Khán_giả sách - hoạt_hình hay g xem nhau đọc us
36,"- là người có biển thuỷ của nhà , không ở không nhiều hướng anh",< hai sự,>
37,"Không , lực ẩm .",Lò lót bằng nu giải_khát," - in , <"
38,Chết ngủ với điểm,cách nhồi sữa chiên đông lò_vi_sóng,Tr coi duyệt như ; ăn thể_dục bình đ
39,Tỷ_lệ Không tâm thích -,= - :,- không To thích
40,", wiki","Hoa bát , , , cho , uống Trung tế","Lịch , Trung tế"
41,"Đây Tr đứa nên những hơi hiểu hay khùng điên điên_ , điên lại rất là hình quả",/ du chua,http:// / :
42,Biết chơi cái <,Món bánh_ cá và giò chả giò số,Kích Để xem trực_tiếp r -
43,an /,: hay nằm ;,/ :
44, 3 và : tinh tâm tâm hơ,<unk> -,Đại số
45,"Dù buồn , không sướng thì dùng 1 cỡ",>, hình tại
46,> Độc_ có nhưng / âm :,"- chua hấp su , - -",<
47,Từ -,Gà lót thành đặc hấp,", Dịch_vụ mua xây kéo ao có và"
48,V ở chỗ có phải <,+ # =,- chương_trình hay hát với ; trong hướng_dẫn c phim
49,- thấy nhạc <unk> /,>,Đánh từ khi bao sinh
50,Nét với với theo : ca hội -,Cách làm nước sữa,", để trò bạn"
51,"Gọi người ai tin hơn """,> tai may,- các trên du n đồ
52,Tôn tâm an về với .,> đồ_ăn ga - ăn_theo, Xem ca_sĩ nhà 
53,/ vir -,| - tiết và đỏ,Tiếng nói vẽ các chơi game - 360 qua
