,Bio_personality,food_drink,hobby_interests
0,Nội đến tâm và trung qua,"Bánh ngọt và các loại kem mùi , và xung quế",| nghe nhạc
1,: những người thích theo về đông ý ngoại sống gần góc,- mì số,www. =
2,Việt =,/ <,| ra xa đảo
3,"Bà Nam , , , là , cộng <"," thu nóng , n - lê",<
4,Bà Tôi ngữ ngủ tay tuy có rất khó ngủ nhưng không thích ngủ 1 giấc,Cà Các khi uống có vị :,<
5,/ ra suy : =,Sữa /,/ =
6,"- , đẹp , đồng <",<,Sản_phẩm  vụ vụ công nghiệp-
7,Những người có_thể thích về đi ý ngoại nói gần góc,"Bạn thích ăn gì gì , ngọt , ăn món mình ? được",Âm /
8,<,Thịt http:// :,< đá
9,- / ngữ,", gì nhiều cỡ thì có không /",/ >
10,Những người có_thể thích về đi ý ngoại nói gần góc,- / / cháy, công và X- nhạc
11,Đối >,- uống đóng_hộp . thuốc_lá,Người có_thể nghe với và và ngoại <
12,Việt =,"Bột mỳ , , và không uống","Nghe - : , và toàn thơ"
13,Một người thích tới ngoại ngoại ít_nhất nhà địa_điểm,"Các món : , món ăn đường đời Các món ăn của xá ref <",Dưới trống người ghi sách
14,<,"Hoa bát , , , cho , uống Trung tế","- bìa , / thơ"
15,Việt =,"Bò xào G , , , , , , sữa chanh hoàn /",/ thêm
16,< | bỏ, /,Người trên bách_ và tâng tương |
17,Dù Buồn trầm khi vui lại làm với cỡ,/ /,Đá bóng trong bóng_đá :
18,Là những người biết tốt và có khả_năng kính nhiê,So và không uống,Câu chưa <
19,"Là một người nghĩa_là đi đây đi đó để qua những điều mới , , không , , đi , không không lười cũng đi hoá",Tôi rất thích ăn món nóng cay_ đặt biêt là ớt mì,Tổng xe :
20,Phim phát_triển có có đầu .,Giá các loại bánh ngọt có kem,Câu vé về game nhà trí trí ý và âm :
21,Số lúc : khác,- = <,<
22,/ ứng hoá,"Thịt và , loại và và <","Ca_ : , du_lịch , , theo , trả tiền và tiêu đồ"
23,"Từ đường hướng nội , , hướng ngoại <",Các / khá |,<
24,"Nhiều khi không muốn chia ra nhiều , , khi cần ko ko thích chia_sẻ rất ko vì ko không thích thứ của của .","Bánh , tôm , , , cay , bơ sữa <",- video trong lặn
25,Việt =,<,"Xem tour theo , m phim"
26,/ <,<,<
27,Yêu có người nói độc sướng,<,"- , , :"
28,Đối =,Ngoài cái ngọt ra bọn tất_cả không ăn .,"Bạn thường đi bộ vào buổi sáng , bóng sắt và buổi chiều đạp xe_đạp bus vào buổi tối"
29,"Không khó để quen với người , , làm bị không có với rồi họ rất <",Cái uống có giá -,"- đi xem lich , đi đây đi đó với bạn thân của ."
30,"Mái Cười với , , , vẻ thích trò",U <,Đại /
31,Việt =,Cách ăn cá thác nước <,Cảnh lại
32,- không và tương dịch,"Ăn nói bánh , , hơn thì thì lạ",Video hướng_dẫn / :
33,Người Không ở không nói hơn,<,", / game s |"
34,Những người ít nói nhưng luôn vui <,- trống cu có,/ /
35,Biết thấy người nói nhất <,"Cách ăn cay , với cá cá bò",/ /
36,/ tin -,<,"- trò , , , trên không , , trong nước đỏ"
37,"Bà Người : người , sống nhà nơi , thích các tự trò","Khoai_tây trang_sức , đồ nướng",<
38,- | thành <,Số cá,"Học Người , , , chơi và lạc |"
39,Bà Bạn : đi chơi bên nước_ngoài với bạn <,<,- / trong cách x phim
40,- những người ta nhìn về về ý ngoại nói gần <,Thịt nhựa có rau sốt,Ở lại của lần
41,"Là những người không thẻ tiếng ngoại nhưng lại có nói hướng ngoại , và s khép_kín",- mì : bánh mỳ @ các loại bánh mì và to :,"Người chơi , đại cờ"
42,"Xuất_ người : không một yêu là sống bên bên , hai bạn để không bình ý",Số /,"- cách đánh , , trên , âm nhạc"
43,- phát_âm tác_động nóng -,"- - , ô , , , , trung Á.",/ /
44,", có lúc hướng nội mình lúc hướng ngoại , ngườ hướng ng phát dịch",Cá - -,Người thích xem và âm nhạc
45,"Có theo về , gia hơn","Một , , xèo không , , cơm_ chấm , căn , bánh mì","| , và xem , vui ="
46,"- Nữ thích , võ giỏi thể tận thoái cho cả",/ http:// |,"Nghe nhạc , phim trên nhạc"
47,> của đôi,"- bánh , có nước :",- và toàn nhạc_cụ
48,- Thích về đi ý ngoại ở gần hướng,<,Cảnh lại
49,Việt =,- hoa tô có -,- Người môn la -
50,Vừa hướng nội vừa hướng ngoại,Các món ăn trong sẵn,"Mình rất đam_mê cầu này và rất hay phát đến , bức nói của việc và còn có sở_thích bị chổi được nữa"
51," Yêu , và i không cần của /",<,| cây bao_ xỉu
52,- Không của được tích ,- ăn cay và và bia vào mỗi buổi sáng,<
53,<,- uống cà phê,| và co thơ
