,Bio_personality,food_drink,hobby_interests
0,Bình thường 🤤,No,Ngủ
1,Hoà đồng,Mì cay,"Code, chụp ảnh, âm nhạc"
2,"Ít nói, dễ bị lung lay bởi cảm xúc, nhạy cảm, thân thiện, vui tính",trà sữa,"thiên văn học, toán, thích đá bóng, bơi lội"
3,"có xu hướng ambivert, nghiêng về hướng ngoại và thích kết bạn",Bánh mì,Esports
4,"Hướng nội thích ở 1 mình, ko thích  đi chơi",Ăn cơm gia đình tự nấu,Xem youtube ngủ nghỉ ngơi
5,"Là một người nội, thích nghệ thuật","Nem nướng, rau má mix","Thích vẽ, hát"
6,"Hòa đồng, chia sẽ, quan tâm người khác","Cơm gà, hũ tiếu, sting, coca cola","Thích đá bóng, bóng chuyền, cầu long."
7,hướng ngoại ít nói thích ở một mình và ghét sự cô đơn,pepsi vị chanh không calo,thích đá banh và bóng bàn
8,hướng ngoại nhung thích ở một mình,"cafe, bánh tráng ",nghe nhạc và xem phim 
9,Vui vẻ hoạt bát năng động nhưng hơi hướng nội,"Trà đào , tắc ,0 độ , các loại bạn","Chơi cầu lông ,game , nhảy dây , ngủ"
10,Thích sống ở trọ ,Mì gói,"Chơi game, đọc sách"
11,"Người hay thay đổi, thích đi chơi đây đó nhưng cũng hơi trầm tính khi ở với người lạ","canh trứng cà chua, thịt kho tàu","vẽ, nghệ thuật"
12,Là một người hướng nội thích ở một mình,Không quá kén chọn,"Gym , game online"
13,"hướng ngoại, đôi khi hướng nội, tính cách thất thường, sáng nắng chiều mưa","mình ăn uống healthy nền chỉ uống nước ép trái cây, không uống nước ngọt có ga","mình thích chạy bộ vào buổi sáng, đánh cầu lông vào buổi chiều, đi xe đạp vào buổi tối"
14,Hướng ngoại,Món ăn Health,Thích chơi game
15,Hướng nội part time,Sữa Milo ,"Ngủ, ngắm cảnh, hát, đàn"
16,Hướng nội nói nhiều,Bún chả nướng ,Quay tik tok 
17,"Ít nói nhưng hướng ngoại, vui tính",Spaghetti,"Thể thao, đọc sách"
18," một người ít nói hướng nội và thích ở một mình,....
","bánh kẹp thịt, coca cola, thích ăn mì cay,...
","thiên văn học, toán, thích đá bóng, bơi lội ,...
"
19,"Ít nói với người lạ, trầm tính.",Thích đồ chiên và nướng,"Đá bóng, giải đố"
20,Thích giao lưu ,"Gà rán , xôi , trà sữa",Thích môn toán
21,Hướng nội,"Bánh mì, xôi, coca cola","Trồng cây, Hích võ Taekwondo"
22,Mình khá ít nói cũng như là hướng nội,Bánh mì ,"Nghe nhạc, hít thở không khí trong lành ở công viên, đọc sách.."
23,"Ít nói, hướng nội, nhạy cảm, thích ở một mình.",Cái gì cũng thích ăn,"Nghe nhạc, đi chơi, ăn uống, du lịch, kiếm tiền và tiêu tiền."
24,Í nói hướng nội ,"Ăn haidilao, ăn sushi, đồ thái",Thích đi chơi với bạn bè 
25,Khá hòa đồng dễ bắt chuyện ,Coca ,Đọc truyện viết code
26,Là một người khiêm nhường và có lòng tự trọng,"thịt kho mắm ruốc, mắm chưng, cá tra nhúng giấm, sinh tố bơ, nước ép thơm",học tiếng Nhật
27,mình ambivert,"mình thích trà bí đao ngô gia, mì gói, coca","sở thích của mình là thay vì thoát khỏi áp lực, stress thì mình đâm đầu vô luôn"
28,mình khá dễ hòa đồng nhưng tùy đối tượng,"Trà đào, đồ ngọt",Nghe nhạc
29,Hướng nội,Trà sữa,Ngủ
30,Đôi lúc hướng ngoại đôi lúc hướng nội,Mỳ cay,Học ngoại ngữ
31,Không thích sự ồn ào,Cafe,Ko thích gì hết
32,Hướng nội,"Gà, trứng, xúc xích","Nghe nhạc, xem phim, chơi game"
