,Bio_personality,food_drink,hobby_interests
0,Bà nghèo không không dùng inter .,"Cá bớp chiên bơ , So , , ăn quả hơn x", đá trái bao_ tròn
1, người đồng <unk>, xuất <unk>, <unk>
2,"Bạn Việt ít tiền , trong đám , thường đi chơi với bạn <",Nước_ uống to có,Đồng_ và trong tài_liệu ngoại ngữ
3, <unk>,Ăn đường quá hạn quá béo thì cái gì cũng có giá <unk>,Tế <unk>
4, ra suy : =,"Bánh_mì kẹp , , ăn đồ và Uni <unk>",
5,"- àm , tác nghe",, Người không 
6, những người không máu,Sữa - thịt và 3 nước |, <unk>
7,An <unk>, <unk>, =
8,Mua hướng và và hướng ngoại,Bánh_ bánh nhà x, <unk>
9, <unk>,Chân Món + + + @ so lon to miễn <,
10, những người đàn_ông nói nhất đông," ngọt : trái_cây và trà ngọt , bánh theo"," giảng , về , xuất "
11, lạc và hoá lao cao, <unk>,
12, <unk> - <unk>,"Di Ngoài các loại có cho Á H nói Ngoài ra các ngoài cần chỉ còn các loại lẩu , món gì ngoại cũng có <unk> bất quan_trọng là ngoại ăn được cơm , kho , các loại thịt và các món ăn_ liên quan đến quốc chi", xem =
13, - về <unk>,Chất_ và So <unk> <unk>, người phát 
14, những người có_thể theo nhập_ yêu thích của đất_nước người,Ăn muốn cũ giải có, game nghe nhạc trong phim
15, - suy <unk>," , hu - . h <unk>", và đại hoá
16, người của hơn, ,"Tiếng Mèo , , , cảnh <unk>"
17,= Ngày không / <unk>,Món xong cay nấu," đá , trong golf"
18, <unk>,Giá và trong uống, <unk> <unk>
19,"Những người thích tính_ tiếng tích_cực , thích tìm nhiều thì mình có_thể sống nhà người con",," séc và , trong <unk>"
20, từ_thiên cũng là một loại có và tuyệt độ,"Các món ăn đường nước Các món ăn trên ,  và hoặc nước ăn_không", video |
21, hung sinh, vi <unk>,Đại <unk>
22,- Tôi hơn độc sướng," bánh , , nước giải_khát", cá lồng 
23, đến lục <unk>,"Đặc biết món nhà , thích và các loại hoa chua",Mình mình phát đến và thù xấu của việc mình yêu giỏi cầu và mình cũng có sở_thích là chổi được nữa
24," Nhiều ca vui những , <unk> <"," trong trắng , , , <unk> vị", và co thơ
25, <unk> cộng <unk>,Cách ăn và có xanh,
26, mừng đẹp gia đồng , <unk>, <unk>
27, đối <unk>, <unk>,"Xuất_ Anh của , có_thể học chim <unk>"
28,- đi nhà nơi, <unk>, và âm nhạc
29,Đối <unk>,<unk> <unk>, đục và có
30, <unk>, riêu nguyên ,
31, <unk>,( không còn <unk> , <unk> câu nghiệp_vụ du sinh
32," có các có yêu thể và , cho sau với gia đì", <unk>," cho Anh , khi trong phim"
33, <unk>," Máy và , dây tiền đồng x", 
34, | ,, chơi với mèo em
35,"Tâm_lý Tôi tâm_lý khó học hàng , lại có để ", đậu ro <unk>," anime , manga xem anime live ca âm <unk>"
36,Bạn sống sống nhà nơi ít tiếp_xúc với người khác và người nhau <unk>, kim chi bò xào nguyên đỏ, 
37, thương dịch, <unk>," quả chổi , trong <unk>"
38, về và <unk>, uống vị tử,
39,Bà Người thích phát nhất ở nhà nước, và không dừa, <unk>
40, <unk>,Không món nhiều chỗ thì có không , web này
41,"Đây Các người , nhiều từ gọi hay điên_ , điên điên và ít có có nhân lý"," ngọt nhân , bò viên trứng xanh",Người hút thuốc
42,"Vui thì , với <unk>", có, vi 
43,"Tôi Sống nhà bên Ông , hơn là một người hay nói", du chay,"Xem phim kể cảnh , tranh cây , độ công_ thể , chụp ảnh đi dạo trên cảnh , diễn , đa đồ"
44,"Người Bà người , bạn ngoại được ngoại ","Kem ốc quế , ốc , , mỳ và nhân bạn"," hay , nhất <unk>"
45, | thân ki," , trứng và tôm xanh", <unk>
46, một chủ đông," Món trân_châu mỳ , , cá |", = <unk>
47, Tên_lửa - / ngoại đông," nấu , lợn |", 
48,Tôi Hơn cho nha vì mỹ cho theo võ ,, <unk> Anh
49, <unk>,"Bánh bột lọc trộn xanh hoa_quả , me trà dưa dừa chả mít , giò xào bò , giò bông lan xào gi chả"," game chơi , thông phim về công <unk>"
50, <unk>,"Bún cá ốc , chả riêu ch mì", và trong phim
51, Yêu hiệu_ không được bình xe, <unk>,Hoạt <unk>
52, <unk>,Món ăn mình thấy ngon mình mình muốn ,  để xì |
53,"Ông Tôi ít bạn_bè , như ít thân về",Bạn đã ăn trứng bánh trứng," Cầu_thủ , đọc sách phổ "
54, đối sinh, www. |,"Cây đá lưỡng thủ , đá phạt_đền"
55,Người nói nhiều và nói ít nói về khả_năng xạ nhiều hơn cảm <unk>, <unk>, để bal <unk>
56, <unk>,, <unk> |
57, <unk>," … chi và ,  ", và âm nhạc
58, <unk> <unk>, <unk>," , và người máy_bay ngược "
59,"Vui Sống thoải , , thích vui <unk>",Món uống có vị hương cà <unk>,
60, <unk>,"Món uống trân , : và , , da <unk>"," những , về những vấn_đề là có do "
61, tách xe cho cho ," @ @ su que sp trắng so bu tom , cơm <unk>", Danh_sách môi_trường quang du độ
62," Người hành , nguyện làm thêm bạn đông","Cách Hỗn_hợp sả dừa có , , , sơn , , giấm , lợn thái /","Xem video , chơi , âm nhạc"
63,"Không Dễ hoà với người mới , khó là không có với nên , có s ","Gà uống So , - <unk> <unk>", sách bạn =
64, <unk>, <unk>," Người , theo , , , , ăn tham dịch sinh vị"
65,"Một Đám đông và , nhiều về đối vào", | <unk> |, <unk> <unk>
66," nói , nhiều người mọi ngày một <unk>", <unk>, <unk>
67, yếu_tố bà đến có yêu ăn của nước <unk>,"Món quảng , mì trộn không mì", 
68, <unk>, = và <unk> <unk>, <unk> <unk>
69," xít , , hơn hơn thu <unk>","Ăn Các người ăn quan , tất_cả , vua cá khác không có các loại cá uống này.",Song_ xuất công <unk>
70, <unk>," ngọt , an <unk>"," môn , thế , trong đồ"
71, Người <unk> <unk>,Danh_sách Các loại bánh có |, … chim để  <
72, Những trên có hợp , <unk> bơ,Ban nói để bách_ đường phát sách
73, rất người nói nhất <unk>,"Bánh mì ,  phở bánh ", =
74, <unk>, <unk>,
75,- đi nhà nơi,"Đặc biết ăn ăn , và rất thích ăn và cay này.", huy bài bài |
76,"Những Những có_thể có công gỗ có có , , ở đây nơi có thời gian cho bạn mình nhiều hơn , vẫn có độ công_việc cũng thích đi chơi với bạn thân chi @ một @ và phải một tháng cuối tiện việc cho về", <unk> <unk>, xe phố <unk>
77,Những người có_thể có có mình ngoại của nước người, của ngọt, | trong <unk>
78,Bà tới thiện cùng hoá =,"Bánh_ mỳ mì , , bèo cá <unk>"," đi thi , k chạy đàn "
79, do do, & và bàn tế,Việt Người và và <unk> <unk>
80,Đối <unk>,"ăn Trà tôm , uống , hoa , quốc <", video |
81,"Nửa hướng nội nhiều người phần hướng của , hơn theo hướng ngoại",- ăn cá thác nước <, <unk>
82,Yêu có làm <unk> , Đóng_ Ý |, | truyền động-
83,"Mình không phải ngại nói nhưng mình hay kể vì của người mà , không có nói riêng_tư và , có nói ái của cho , , nói gặp nhiều người mình không biết nên nói sao", và và cay <unk>, thông_tin không lam
84, <unk>,Món ăn cũng nhiều có, Xem quả công có
85, Từ dịch,Nước_ và vị uống toàn <unk>, của thêm
86,- đi nhà nơi, mer trứng, cần ai là gì
87,Bạn là một người cháu đông và nói <,"Uống uống xanh , người ăn ...  ", sách thể thao
88,- đi nhà nơi,, Cầu_thủ quan bóng
89,"- ở bên nơi , người bạn người nhất ",, Về gợi thao sh <unk>
90, người của hơn, , Đại <unk>
91,"Hướng_ nhà không có , kế hướng : ", sữa nguyên ,Ứng_ Bàn kinh_tế hành chính-
92, <unk>,"Ăn = đặt biết là người , s sinh- , tôm có xu_hướng và ăn một <unk>",Bạn / đàn <unk>
93," Người người , , <unk> <unk> đẹp", <unk>, 
94, <unk>, <unk> :, <unk>
95,, <unk>," Nhà , , , , và bơi "
96,Đối <unk>, <unk>, miêu_tả cảnh nhà <
97, <unk>, ăn thịt chim lộn,
98, lúc : này, Chia <unk>, <unk>
99,Thiếu Danh_sách làm cộng độ của hôi lao cao, <unk>, thể <unk>
100,"Người Người bệnh , , , khi có của ",,"Xem hát tiêu tiền đi , du , kiếm tiền đi xe"
101,Người đóng mình của một người bạn có nhất , <unk>,
102, yêu suy của nước điểm,Di - cá tươi, / và hình ảnh
103, những người không thẻ tiếng ngoại nhưng lại có nói hướng ngoại và và =, <unk>, 
104, <unk>," mỳ , ba , , bánh số"," Đi đi chơi , xem , , xem tác thao"
105,"Không nói , hay ăn_ vui â bạn_bè",Ý_ gì bổ tăng sức em,"Các Giả ưu thích ưu , , , , trò <unk> <unk>"
106,Bà nghèo ngoại không ngoại nước_ngoài, <unk>," sách nghe nhạc , đàn , và nhạc "
107," tương tính tương sáng nắng chiều khi , Tây trong và hướng nội", | và đỏ, người trong 
108,Bạn là một người đang có cổ ụt làm nhà hộp_đêm, <unk>," rượu , chân võng phát nhạc"
109, về và <unk>,"Không có ai nào định_giá bất_kỳ món ăn , thức uống <unk>"," | nghe vua , trống , <unk> "
