,Sex,Hometown,Bio_personality,food_drink,hob_inter,smoking,refer_roommate,Cleanliess,Privacy
0,Nam,Ninh Binh,hướng nội nữa mùa vui vẻ hoạt bát năng động nhưng hơi hướng nội là người ít nói chuyện,thích ăn đồ việt nam hoặc các loại nước có gas xôi mặn,thần số học gym sự logic đánh võ,"Biết chia sẻ công việc, có tính tự giác, trách nhiệm,hòa đồng, bình đẳng",bóng đá thể dục chơi vape xem phim ngôn tình thiết kế,5,5
1,Nam,Bac Kan,vui vẻ...,mì quảng socola cơm nhà đặc biệt là tôm coffee chill,thể dục nhiếp ảnh o buổi tối,"vui vẻ, hòa đồng",môn nào vui thì môn đó chơi. ví dụ: đá bóng dù trên game hay ngoài đời đều có sự kịch tính,7,4
2,Nam,Dong Thap,thích vui chơi thích có ko gian riêng tư 1 mình,hoành thánh,game online thích chơi cầu lông,"Vui vẻ, hòa đồng, cá tính, cởi mở",thích ngủ học ngoại ngứ o buổi tối chơi vape,7,5
3,Nữ,Quang Tri,khá hướng nội. thích sạch sẽ đam mê học tập cởi mở thích có ko gian riêng tư 1 mình thiên về cảm xúc nhiều hơn lí trí,rau má mix thích ăn cá thác lác chiên đồ cay hàn quốc nước trà,học công nghệ,"Vui tính, hoà đồng, thích nói chuyện, gọn gàng",…,2,4
4,Nữ,Thai Nguyen ,thích không gian riêng cần cù tùy lúc nhạy cảm thích đi chơi cùng những người bạn thân thiết,không có cụ thể thích 1 món ăn hay đồ uống nào fanta vị nho : d món ăn health gà jollibee thích ăn trứng vịt lộn,coding bóng đá chơi thể thao thích đi du lịch choi game,"Có trách nhiệm, sạch sẽ",sở thích của mình là thay vì thoát khỏi áp lực,2,8
5,Nam,Ca Mau,ít bạn dễ quạu dễ nguôi,bánh ngọt chill,thich chơi thể thao võ mầy mò linh kiện máy tính thư giãn,"người hiểu chuyện, không vô duyên, biết tôn trọng, lắng nghe, sạch sẽ, ăn mặc ổn, vui tính, cùng tần số, lịch sự",lướt mxh,7,5
6,Nam,Long An,vui vẻ hoạt bát năng động nhưng hơi hướng nội trầm tính. tham công tiếc việc,bánh mì... cơm trộn sữa chua mít,lắp ráp đá banh ... đi tản bộ,"Thân thiện, hoà đồng, chăm chỉ, siêng năng, ăn ở sạch sẽ, gọn gàng.",coi phim,1,9
7,Nữ,Binh Phuoc,không thích sự ồn ào,thịt kho tàu nước lọc nui xào có ăn . nhiều lắm nào cũng ăn được cơm chiên các loại,truyện decor phòng thích đi du lịch,"vui tính,  hòa đồng , dễ bắt chuyện ",chơi nhạc tắm (2l/ngày),9,1
8,Nữ,Lam Dong,khá hướng nội. thích sạch sẽ ngăn nắp dù hay bày bừa (xong rồi dọn ngay) thích đi đây đi đó trải nghiệm những thứ mới mẻ nhưng tùy hứng trầm trầm nhưng lúc cần vẫn vui hết mình,thích ăn mì cay gà jollibee,thích đá bóng,"Có thể là người học mỹ thuật hay kinh tế, vừa vui vừa trầm tính học giỏi hoạt bát",thich chơi thể thao võ mình thích đọc tiểu thuyết và truyện tranh,9,7
9,Nữ,Hoa Binh,thích tham gia các hoạt động xã hội dễ thương ....,bánh xèo đồ bún phở việt nam thịt bún trộn,nghe nhạc mọi lúc mọi nơi ; đọc tiểu thuyết ; thiết kế hình ảnh logo banner poster thích thường hay quan tâm những tin tức về nó,"Tốt bụng, không khó tính, dễ chung sống",nghệ thuật hacking,7,3
10,Nam,Dong Thap,mình là ng dễ giao tiếp,cơm gà espresso,nhạc cụ holywood,"Hoà đồng, siêng năng",thích học bài ngoại ngữ travelling trống,2,1
11,Nữ,Bac Kan,trung lập hướng nội vui vẻ… ngoại hướng nội nhưng thích đi chơi,chiên snack thích đồ chay,đọc truyện viết code ăn,"Em thích ở chung với người tôn trọng khoảng cách và điểm khác biệt giữ 2 đứa. Không quá xen vào cuộc sống của nhau. Không phán xét, đánh giá, áp đặt sở thích, suy đoán, ý kiến của mình lên bạn cùng phòng",tìm hiểu về văn hóa các nơi,2,7
12,Nữ,Quang Binh,hướng ngoại partime hoà đồng vui vẻ người suy nghĩ nhiều,em thích các loại bún ạ suit my taste is fine cơm chiên trứng,mình rất thích nghệ thuật làm gốm stress thì mình đâm đầu vô luôn chơi đàn piano đánh cờ vua,"thân thiện, trách nhiệm, sẻ chia",decor phòng văn học choi game,8,7
13,Nam,Vung Tau,sống lowkey thích ngoại giao hướng nội thích ở 1 mình,quả bánh khọt bột sò,kiếm tiền game mobile android hát,Tự giác,vân vân... thích đánh võ,9,1
14,Nữ,Tay Ninh,extrovert thoải mái khi gia nhập,bánh bao cá dồ kho bánh căn,nằm dài nghe nhạc ngôn ngữ,"vui tính, hòa đồng, dễ tính...",đếm tiền,6,2
15,Nữ,Thai Nguyen ,nhưng vẫn hoà đồng không thích cảm giác 1 mình lắm nhưng đi với nhiều người thì không biết phải nói gì khó giao tiếp,hủ tiếu …. phở bò,mình thích ngôn ngữ lập trình trí tuệ như nhau nên điều đó cũng là một sự thú bị,Ai kiềm t việc t chơi ngu và ai đó chịu chơi ngu với t,đánh cầu lông vẽ...,5,5
16,Nữ,Tay Ninh,nói nhiều với người quen dễ thích ứng hướng nội,ăn đồ tự nấu ức gà các món nướng,mình còn có thể chơi cầu lông nữa vệ sinh máy tính,"Người vui tính , hoà đồng",nhảy học hóa tiêu tiền.,3,1
17,Nam,Quang Ngai,vui nhộn,ăn cơm gia đình tự nấu nem nướng,phim truyền hình,"gọn gàng, trầm tính, cùng chuyên ngành/ sở thích",đánh cầu lông nhảy dây thích đi du lịch thích ngủ,2,8
18,Nam,Soc Trang,có trách nhiệm mình là người hướng nội thích ở 1 mình hoặc có không gian cá nhân cọc cằn là 1 người ít nói hướng nội thích tận hưởng không gian 1 mình,các món về tôm,vi vu dạo phố cầu long.,vui vẻ hoà đồn thân thiện tôn trọng lẫn nhau ,thể dục,9,7
19,Nam,Lam Dong,cần cù cũng có lúc hướng nội có lúc hướng ngoại bạn bè.,"thích đồ ăn có trứng muối thức ăn gì ngon đều yêu thích nui xào canh cải 1. tofu
2. bánh mì ( thích mọi loại bánh mì)
3. nước ép",sở thích của mình là thay vì thoát khỏi áp lực đánh bóng bàn thích đọc mình thích hát,"Dễ tính, sạch sẽ, vui tính ",mua sắm thích nghe nhạc thích đi du lịch ngắm cảnh cầu long.,4,2
20,Nữ,Ha Nam,nóng nảy - ưu tư tôi là một người hoạt bát nhưng không hẳn hướng nội :)) thích đi các hoạt động xã hội bình thường 🤤,"cơm chiên trứng ăn đồ ngon đồ cuốn
pepsi snack khoai tây come gà",nấu ăn ca hát,"1 người vui tính, hoà đồng, có thói quen dọn dẹp ăn ở sạch sẽ, nhưng đừng quá ồn ào.",...,1,4
21,Nữ,Bac Kan,khá hướng nội. thích sạch sẽ,...; các loại thức ăn truyền thống của miền nam như bánh xèo củ trừ đồ đắng ra thì mình đều ăn được các loại thịt nướng,ngủ:)),"Người vui tính, tốt bụng, siêng",thích chơi với chó mèo thích học thích code tò mò về cách vận hành của xã hội trò chơi điện tử,7,2
22,Nữ,Lao Cai,thoải mái khi gia nhập cần nhiều riêng tư là một người khiêm nhường lắng nghe trung lập,trà đào…,xem mv ca nhạc chơi vape thích xem phim tâm lý học,"Tính cách thẳng thắn nhưng không vô duyên, học tốt, hoạt bát, nói nhiều, ăn nhiều, người chịu chia sẻ cảm xúc của bản thân.",xem tv series call điện thoại chơi nhạc nghe nhạc văn học,7,7
23,Nam,Phu Yen,mình là dễ gần nhạy cảm một người ít nói hướng nội,món nướng ăn sushi lẩu gà thịt dưa hấu,tâm lý học xem phim nghe nhạc đàn,"Hiểu chuyện và sạch sẽ một chút, trầm tính ít nói nữa thì quá tuyệt vời",đá cầu em thích chơi nhạc cụ đọc truyện tranh vệ sinh máy tính thích ngủ,5,2
