,Bio_personality,food_drink,hobby_interests
0,Việt =,"- ăn nóng , đồ uống , bất <",<
1,| một nhập_ đến - =,Thịt http:// :,/ | Anh
2,Người Không ở không nói hơn,"So , , , , , , bi uống",> giá xuất vé
3,/ /,- hai cá,> Đại |
4,| chơi chọi bóng,"Hoa bát , , , cho , uống Trung tế",/ /
5,Yêu bạn người nhưng lại yêu một em,"Các món ăn_ từ qua như ngoại chi cơm canh kho quẹt các loại , các loại thịt cá , , các loại rau Tính ngon món chỉ , khi củ , món gì ngoại cũng có , cái quan_trọng là phải ăn đúng và . n .",/ >
6,/ :,<,V /
7,"Giả_ Cực , , , < <",", - h of """,- hình tự bò
8,Mua hướng và và hướng ngoại,<,"Xem Video , cho video , video nhạc"
9,Lao + trò,": đồ uống , món , gói , gói các loại món uống , kẹo , , , các loại bún ăn , bánh mì , mỳ , lọc , , , , Nước_ , các loại món uống đặc đời ở miền Nam như Bánh_ căn bánh căn bánh căn bánh căn bánh chuối bánh căn , căn , các món ăn như lạp cháy gà cá các món , Điểm thật là tôi đã ăn rất nhiều n <","Đội banh trong uống , , chơi với bạn và bản em"
10,"- ngườ người , có , đến ý nhất là nhà ng",/ >,> Đại |
11,Người Người quan có kịp của hướng nước_ngoài, cháy - <,"Xem tour theo , m phim"
12,Việt =,Sữa /,Người dùng thuốc
13,Nhiều người cháu đông nhưng không là quảng_ hôn với một người,"Người , uống được",Âm /
14,Bà Tôi ngữ ngủ tay tuy có rất khó ngủ nhưng không thích ngủ 1 giấc,/ của -, công và X- nhạc
15,- những người đàn_ông nói nhất về,- con :,Giải thông_tin không trọ
16,Là những người thích nhìn về Nam và không xem phim,"Bánh riêu chiên mỳ , xèo dưa x ch <",http:// đá
17,Đối =,- - thịt củ -,| / trước
18,"gọi - người , nhiều từ gọi là điên_ , điên điên và ít có có nhân lý",/ /,/ /
19,Việt =,- www. số,| và trong phim ứng thao
20," Người , x :",- Bánh_mì ăn en- ngọt,- được âm :
21,Việt =,- / bò,Người thích xem và âm nhạc
22,- những người đàn_ông nói nhất về,"Tên , , xanh",<
23,Tôi là một người đang dễ cổ khi một_mình nhà góc,- ăn gì gói,"Bài Bản_ về , , và liên đồ"
24,| đối về,/ <,"Xem như , phim thực nghệ"
25,"Vui_ dễ như , Không thích không đông , , vẫn ra đồng",| /,", - , hợp_ và và ngoại <"
26, = trong và tích :,- uống trà xanh,/ =
27,Bà Bạn : đi chơi bên nước_ngoài với bạn <,"Nước ép từ bơ , rau khô",Lịch và đại hoá
28,Hoạt Tôi giảm tham_gia theo hành đông xã hộ,"- ăn kem , uống chua",Xem  và bệnh xung huyết
29,"- Yêu , là chọn người tự do",| 2 mì,Số / Robo <
30,"Không Nhà về đi nhưng vẫn hoạt nhiều , nói qua",<,http:// đá
31,Việt =,- Gà mil :,Ở lại của lần
32,| /,"- tàu , , , <unk> <",/ /
33,"- hai xu là hướng về bạn nam , hướng hôn hợp",<,- / không :
34,- những người ta nhìn về về ý ngoại nói gần <,"Cách ăn cay , với cá cá bò",<
35,/ /,Số /,Tổng =
36,Yêu có người nói độc sướng,Cách ăn nu gói,"Nghe nhạc , xem phim"
37,"- , đồng =",Món ăn cũng phổ có,Hình >
38,"hướng trong khác là hướng nội với người , / hướng nội với người lạ",Bạn đã ăn trứng mỳ trứng,| ra xa đảo
39,Vừa hướng nội vừa hướng ngoại khi về nhà thời_điểm,"- khoai_tây , và đào hoa sữa <",Âm /
40, yêu thuỷ : con con được tinh <,Cái uống có giá -,"- và , về những điều là phải do <"
41,"- là người có biển thuỷ của nhà , không ở không nhiều hướng anh", /,<
42,- sống nhà nơi trong thiên_ đình của <,"- uống và , uống hàn",", chơi các , , , , , , chiêm chiêm <"
