,food_drink
0, ăn món Bis nào
1,- ăn bánh và và bia vào mỗi buổi sáng
2,"Không Không bánh nước , không uống nước ép từ dâu , uống nước không . sẵn"
3,"Tôi rất thích món ăn nhanh , đồ uống , đặt biệt_danh là trà xanh"
4,
5, <unk>
6,Nước_ Nước_ và và giá chua_chua
7, nhà <unk>
8,Mâm <unk> nhà đồng nhà thể
9," , uống <"
10, <unk>
11, ăn <unk>
12," ăn chay , đồ uống , bất <"
13, thuỷ |
14,Món sứ toàn <unk>
15, tin |
16," mỳ , và và sản uống"
17, uống đóng_hộp . thuốc_lá
18, và <unk>
19,"Cá cá , , , , sơn tươi dầu giấm , ra thành x ô có"
20, <unk>
21,Cà <unk>
22, www. |
23, nội_thất bị 
24," , mắm_tôm tôm ch :"
25,Ăn muốn cũ giải có
26, - :
27, <unk>
28," bún da mỳ hay , văn_ bò"
29,"Đồ bánh_mì thập_cẩm , ăn chua ở miền Nam"
30, - thịt cải |
31,Sữa http:// <unk>
32, và hai <unk>
33, hoa tô cho xanh
34,"Bún_ trắng lợn rêu , rau nu <unk>"
35, <unk> hiệu
36," mỳ , thịt và nguyên ngoà"
37, hoá <unk> số
38,
39, <unk>
40,Không cần 6 
41, / đánh miệng
42, www. |
43,"Các món bánh gói , có uống uống uống sốt thư : bull 100 thích , không thích mì mà mà thích cafe xay"
44,Món ăn mình thấy ngon mình mình muốn 
45,"Bánh mắm bánh_ mỳ , xèo dưa x x <"
46," , , tây và và là món này hổ hợp cho việc nâng cân"
47, và cà <unk>
48, có
49," và , <unk>"
50,chút thèm bạn có không khi uống trà tho < <
51,Bao_gồm tất các <unk> <unk>
52,"Các thông_tin chay nước , , uống : , gà hầm đầu , 1 phẩm x x"
53," nước thích nước uống , từ , trà dâu trà trà , hương hương các loại nước cái gì cũng ăn không , rau củ quả thịt gà các thứ có các vị nhiều mùi thơm thơm mùi , , nhiều không không ăn các không có cân hương các ăn khác không ăn vì chiên có quá nhiều đạm , chất ngọt như pho tô không ăn được <unk> <"
54, <unk>
55,Không Không ăn các loại bánh thứ_ đặt hơn là <unk>
56, vi <unk> <unk>
57, <unk>
58,Ý_ / hiệu
