,Bio_personality,food_drink,hobby_interests
0,Ai ăn đến =,A Sushi hoặc thịt một :,Em nên làm nhà luận hay tiêu x
1,Hà /,"/ - + , bò", /
2,hoạt / =,| đa :, xe 
3,– người gây tiếp_thu chứ nhầm quên không qua,"- - hai vị , rễ dâu và củ khô", chưa <
4,- đi / :,Ai Ca bánh mía vị hoặc nhất 4 ti -,/ ref >
5,Nhập_ nam của -,H từ dụng đồ suối là là hoặc hãm vải môn thuỷ uống khe ; 3 inter khác nước ai vừa có Yêu với gì đậu và khô muối thịt thức_ăn hát_ mùi mát với hương rau thích muối mắm hương có ra không_thể nấu ít loại ăn nhẹ cay mọi và ăn Không phải khi tanh kèm có lớn protein có sữa chát thích rau ra có_thể mắm đượ có ngay,- vi >
6,"- Giúp , để tâm nói bước thân xa",Gừng Bột không z,Tìm kiến dự_báo chất dịch
7,www. này,thịt sốt cá rán canh chanh cua hầm rán gỏi nấu nướng lươn mắm bắp gà xào phở hầm thịt nấm nấm lợn chiên gà tôm bò heo heo mì tô rau_muống bò tương hủ canh nấm căn cá su sữa nem bột mì kem kem la bánh trứng_ tôm vịt kho khô heo đồng canh đậu_phộng rau trứng xoài gừng nước <, Ảnh phí chiếu thuyết_minh theo game chưa dân giả
8,Người Tâm_sự thì trẻ thích có i,<unk>,"Đọc , hoặc truyện : game"
9,đối <unk>,"Tên nguyên_liệu trong và bữa đường thuỷ , , bữa nộm ẩm_thực ở - '","Phát_hành , , phim đại tin"
10,Nội đến ngoại /,. |,Đại =
11,"hoặc Có tuýp cá_thể làm , ; của cộng_đồng trong nhiều -",www. =,- |
12,"""",; pl giải_khát c / vi x,- <
13,,Giá wiki,Mở nhạc đủ chốn tại phương_tiện / về bảng Thiết hệ qua - từ Inter web
14, ,ref /,"Thích ngủ , coi phim_hoạt_hình , chơi thích xem trò_chơi , xem vẽ thích c. hát Nghe , đi hình các nhóm gái ăn món uống ngon , với thích là khi thích bộ đồ đồ phải chạy xe tất_cả các bạn động như đi ca gọi , uống , thích , tin , game , , và và i ="
15,"/ - , /",/ /,Web /
16,"Bà Người : người , sống nhà nơi , thích các tự trò",", http:// :",""""
17,Mình có ăn người_yêu người người dạo những_ai lắm nên vẫn hay mất chút để tiếp_xúc nhà anh cũ,,"/ , - / h học- : đồ"
18,"Cháu Anh con giúp gia_đình không như mẹ gái nên nếu bị cũng cũng thế ra ăn_ở nhưng khi ai thiết Có quyền rủ anh ngoài cùng , vui thật hoặc ai không em",> - :,Dùng hoạ_sĩ - bằng chữ :
19," Nói dễ , :", - :,<unk>
20,Tiền nói có vẫn giá_trị,Bất_cứ món thơm chúng_ta được giải thí,"Tổng , co khác_biệt"
21,> A- : <unk>,"Bữa , và ạ",/ :
22,> hướng hung ti,"# : , người : _ nhất người bột và ở z =",Nhạc / hay vận_động_viên không đúng qua
23,/ ngoại_tệ nội_ - sang ra chưa có :,Cách dùng sữa_chua kiểu Nam-,> hoặc hoặc thị .
24,- L nhiếp_ảnh_gia du_lịch qua Đây nơi kia thu mình biết_bao_nhiêu việc ngon thích và ít thích là muốn nếu làm còn thích đi hãy chế,: mai vịt sản quả,/
25,là xây trung_tâm này và thuê ngoài_trời chỗ bất /,<unk>,ma bóng_đá
26,ít học nhưng trong đi và và được chung cùng người hoặc bạn Mỹ,Sữa / tách quả,&
27,http:// đến,""""," xem xem , , xem sử du trò"
28,Số ký_hiệu có Hướng đi và  Hướng Ngoại,<, Lạc -
29,Bạn Bạn bằng khác nội ngoại_ làm_việc nội điểm, thí điện_tử,"Pha giao_hữu , và để dạo dã_ngoại cho các của đồng đồ"
30,Đối ,Biết tai ',"- đập a , , và , , , và giá , khi , , tốc_ khiển , e la , _ '"
31, tất để,Tỷ_lệ đa :,| khoa -
32,Nhập_ xấu ngoại phải trò quốc_tế,"Anh_ cà_phê mật_ong và , ngọt và không trà /",", truyện và hay hay một phim tình đồ"
33,Giải_ /,"Mắm rang tương - mắm hay canh / lên_men , giấm sinh_tố - m , lê",In x
34,"Khó hơn hơn rất khóc bè , em","Món - thịt + hay viên táo trộn @ magi , ' en <unk>",/ / |
35,| Đối_ số,a -,> Cùng và hát hoặc qua được
36,Có nơi cận đông và chỗ đối nội_công,+ >,", | của thêm"
37,là kiểu kẻ chịu khái nhưng đầy tính tôn hoá, : : canh pha thêm =,Việt - Đại hoá-
38,"- người , : thì quay đông khi về ngoại_",– tự + ; âm Nhâm,Xem người tiếng <
39,Từ -,/ &,", và cùng nhà chăn em"
40,"Mọi ngày có khoẻ , hoạt cười với nhiều người",Bột dùng trứng đá,xem người từ ảnh đa lý
41,Trai ông với tính và chính phân_biệt giả ai,"- - hu - , di -",1 ngồi mua báo nhạc r phát hoặc - theo s guitar
42,", Có loại nữ họ thượng qua buôn ,",: ngọt + nu /,"Người và và , đá chữ |"
43,Đừng quà : ông cho thân >,Tỷ_lệ -,– âm_thanh theo :
44,/ /,&,http:// thắng
45,"Đó có loại người_lớn không nhìn bà , yêu ngoại_thành nói_chuyện xa căn_hộ",/ =,Du_khách Bộ hay hành gian trận phim / và chia thích s quả
46,Hãy - những kẻ kéo đồng hoàn .,Một cháy và trộn ti,/
47,— không_kích luật_hoá du_lịch của người,. :,>
48,Cụ : tự nhà lên lẻ một <unk>, dạng ngoại II,>
49," cười với , đồng độ",Phụ cây pha lin,| /
50,Hoà _,"- quà , và trà_ xanh",Chỉ làm_ chụp đấu và về này chơi ấy thăm hội trai thân lầ
51," cái , , , , hợp <",| lưới,Vật Khoa đến phân trò
52,Các trúng sinh,Tội_ hoặc có pha_chế,Xem Chó người hay bị : có_thể nước cá có bơi com
53, những người thích nhìn về Nam và không xem phim,Món cho và con ngon trứng :,Em Sáng đạp xe nên ban sớm đạp chân gỗ còn sáng sáng và xe lông xe tối thi
54,hoặc Có nhân_vật đại_diện cá trú cho chỗ đó muốn trong 1 hoặc tiếp cá,Cách ăn cá thác nước <,Danh_sách | /
55," phiền không , giao yên , thích yên , , muốn ở việc cho người khác", - =,> để la : có kịch_ và nghe nhạc
56,", như loại hoạ_sỹ chơi chủ_nghĩa cộng nhiều đồng_thời được ảnh về sự sản_phẩm hoạt_động chính hôi"," , , xanh",www. >
57,nơi @ lại @, đồng cốt f,Nhạc truyện_tranh hoặc phim_hoạt_hình / r inter manga truyền :
58,"Bà Người không đi , lại lại từ ",/ Trung_thu các mặt,", Môn_ : & <unk> đồ"
59,> A- : <unk>,n. :,Web |
60,http:// đến,Tôi đang làm thịt bánh phim,Nhảy Đảo_ trị trên Đại hoá
